title,company,location,link
호정솔루션,호정솔루션 대전지역 개발팀 신규인력,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=98aba8d3e3628f1b
LG CNS,"1,2월 경력",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f935130f920e7f66
NHN Service] [판교,[판교]기술지원,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=466ed639df372448
일루미나리안,Linux/Python/PHP/MySQL/백엔드 정규직 경력,용인 보정동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=04d685fc70b67d4e
Calm Island,Researcher(AI/Deep Learning),서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ba8773ea606ae9f3
카카오,카카오톡 보이스톡/페이스톡/라이브톡 개발자,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d585814d097935eb
Nexon,분석 플랫폼 웹 프론트 엔지니어,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=eeb027369cdab361
카카오,추천 통계분석/데이터사이언티스트,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bfe0f5ac4f32ec89
LG유플러스,AI/빅데이터 분야 (인재 Pool),서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fb617eeb80ea6fa9
네이버,네이버 일본 맛집 서비스 CONOMI 머신러닝 개발자,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=feac8a234b715106
울산과학기술원,2019 Military Service Exemption Position Available at the IBS CMCM (Synthetic Organic/Polymer Chemistry OR Theoretical Study of Carbon and Related Materials),울산 언양읍,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8becbf73bbda7c96
브이아이피자산운용,자산운용본부/전략기획본부 인턴,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d1d0f9bfa7226166
대그룹계열제조사,제조공정Deep Learning/AI 전문가 대그룹계열제조사 new,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c2bc15d755c2e44a
네이버,[Search & Clova] 네이버 Data Science 데이터 분석 신입/경력사원,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9e73c6c0c12902dd
벨에포크자산운용,Quant 트레이딩 부문,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=695d21f6aec731c6
Qualcomm,H/W application Engineer,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9425313d3f425da7
NHN,머신러닝/딥러닝,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=cd8ee27085e6a2ff
Nexon,정산 및 재무서비스 개발자,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2d1342226996073d
LG유플러스,2020년 해외 R&D 석/박사 및 산학장학생,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=995f796d49d7095c
카카오,"데이터 가치 함께 발굴하실 머신러닝, 통계 모델링 전문가",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d1e75364ef505c68
Cisco Systems,Associate Solutions Engineer (Full Time) - Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=59b0ff5ce11a8952
IQVIA,Healthcare Real World Data Analyst 담당자,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a39853230d5ceca8
